message_id,sender_id,message_text,timestamp,amount,transaction_cost,new_balance,recipient_name,is_fraud,fraud_type,message_type,sender_name,sender_number,is_valid_sender,message_length,has_pin_word,amount_count,has_confirmed,has_link,link_count,link_at_start,link_at_end,has_official_domain,link_with_urgency,link_without_transaction,exclamation_count,has_urgent_word
MSG00003762,MPESA,"Confirmed. Ksh25630.19 paid to Akinyi Owino. on 17/9/25 at 6.35 PM New M-PESA balance is Ksh60034.63. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00. Exclusive M-PESA deals at https://bit.ly/safaricomdeals",2025-09-17 18:35:00.921532,25630.19,55.0,60034.63,Akinyi Owino,0,,payment_confirmation,,,1,238,0,3,1,1,2,0,1,0,0,0,0,0
MSG00000839,MPESA,"Confirmed. Ksh19907.86 paid to James Kimani. on 17/9/25 at 6.36 PM New M-PESA balance is Ksh47841.12. Transaction cost, Ksh50.00. Amount you can transact within the day is 500000.00. Tumia M-PESA Biashara number kununua credit na data bila ya transaction cost.",2025-09-17 18:36:00.862861,19907.86,50.0,47841.12,James Kimani,0,,payment_confirmation,,,1,260,0,3,1,0,0,0,0,0,0,0,0,0
MSG00000155,MPESA,"Confirmed. Ksh28809.17 paid to Timothy Kimani. on 17/9/25 at 7.05 PM New M-PESA balance is Ksh8281.44. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00. Send money globally with M-PESA. Learn more https://bit.ly/mpesalnk",2025-09-17 19:05:00.862861,28809.17,55.0,8281.44,Timothy Kimani,0,,payment_confirmation,,,1,251,0,3,1,1,2,0,1,0,0,0,0,0
MSG00006011,MPESA,Confirmed. You have received Ksh46666.71 from Grace Kamau 0769 492 152 on 17/9/25 at 7.07 PM New M-PESA balance is Ksh75837.83.,2025-09-17 19:07:00.968947,46666.71,0.0,75837.83,,0,,receipt_confirmation,Grace Kamau,0769 492 152,1,127,0,2,1,0,0,0,0,0,0,0,0,0
MSG00000381,MPESA,"Confirmed. Ksh43040.44 paid to Peter Maina. on 17/9/25 at 7.46 PM New M-PESA balance is Ksh5838.58. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA online na upate up to 25% off. Details at https://bit.ly/mpesaglobal",2025-09-17 19:46:00.862861,43040.44,60.0,5838.58,Peter Maina,0,,payment_confirmation,,,1,264,0,3,1,1,2,0,1,0,0,0,0,0
MSG00007095,MPESA,Confirmed. You have received Ksh15006.57 from Kipchoge Odhiambo 0750 776 236 on 17/9/25 at 7.57 PM New M-PESA balance is Ksh68892.23.,2025-09-17 19:57:00.984769,15006.57,0.0,68892.23,,0,,receipt_confirmation,Kipchoge Odhiambo,0750 776 236,1,133,0,2,1,0,0,0,0,0,0,0,0,0
MSG00000107,MPESA,"Confirmed. Ksh20568.22 paid to Joseph Nyambura. on 17/9/25 at 7.59 PM New M-PESA balance is Ksh78458.28. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00.",2025-09-17 19:59:00.862861,20568.22,55.0,78458.28,Joseph Nyambura,0,,payment_confirmation,,,1,185,0,3,1,0,0,0,0,0,0,0,0,0
MSG00005645,MPESA,Confirmed. You have received Ksh23687.49 from Paul Kiprotich 0750 539 057 on 17/9/25 at 7.59 PM New M-PESA balance is Ksh98375.14.,2025-09-17 19:59:00.962994,23687.49,0.0,98375.14,,0,,receipt_confirmation,Paul Kiprotich,0750 539 057,1,130,0,2,1,0,0,0,0,0,0,0,0,0
MSG00006936,MPESA,Confirmed. You have received Ksh36453.96 from Mary Koech 0792 148 089 on 17/9/25 at 8.00 PM New M-PESA balance is Ksh113398.84.,2025-09-17 20:00:00.984769,36453.96,0.0,113398.84,,0,,receipt_confirmation,Mary Koech,0792 148 089,1,127,0,2,1,0,0,0,0,0,0,0,0,0
MSG00003609,MPESA,"Confirmed. Ksh44684.36 paid to Wanjiru Kiplagat. on 17/9/25 at 8.07 PM New M-PESA balance is Ksh6692.55. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. Exclusive M-PESA deals at https://bit.ly/safaricomdeals",2025-09-17 20:07:00.921532,44684.36,60.0,6692.55,Wanjiru Kiplagat,0,,payment_confirmation,,,1,241,0,3,1,1,2,0,1,0,0,0,0,0
MSG00003542,MPESA,"Confirmed. Ksh43230.22 paid to Mary Owino. on 17/9/25 at 8.09 PM New M-PESA balance is Ksh7117.79. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00.",2025-09-17 20:09:00.921532,43230.22,60.0,7117.79,Mary Owino,0,,payment_confirmation,,,1,179,0,3,1,0,0,0,0,0,0,0,0,0
MSG00000738,MPESA,"Confirmed. Ksh48822.22 paid to Michael Kariuki. on 17/9/25 at 8.12 PM New M-PESA balance is Ksh40396.84. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. Tumia M-PESA Biashara number kununua credit na data bila ya transaction cost.",2025-09-17 20:12:00.862861,48822.22,60.0,40396.84,Michael Kariuki,0,,payment_confirmation,,,1,263,0,3,1,0,0,0,0,0,0,0,0,0
MSG00006764,MPESA,Confirmed. You have received Ksh22153.30 from Michael Maina 0791 662 710 on 17/9/25 at 8.17 PM New M-PESA balance is Ksh97799.63. Lipa na M-PESA at NAIVAS SUPERMARKET and stand a chance to win a trolley shopping.,2025-09-17 20:17:00.984769,22153.3,0.0,97799.63,,0,,receipt_confirmation,Michael Maina,0791 662 710,1,212,0,2,1,0,0,0,0,0,0,0,0,0
MSG00001550,MPESA,"Confirmed. Ksh44435.78 paid to Samuel Njoroge. on 17/9/25 at 8.32 PM New M-PESA balance is Ksh44518.97. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA online na upate up to 25% off. Details at https://bit.ly/mpesaglobal",2025-09-17 20:32:00.884288,44435.78,60.0,44518.97,Samuel Njoroge,0,,payment_confirmation,,,1,268,0,3,1,1,2,0,1,0,0,0,0,0
MSG00004599,MPESA,"Confirmed. Ksh19569.51 paid to Mary Kiprotich. on 17/9/25 at 9.21 PM New M-PESA balance is Ksh53335.89. Transaction cost, Ksh50.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA na ufaidike na bei nafuu.",2025-09-17 21:21:00.935523,19569.51,50.0,53335.89,Mary Kiprotich,0,,payment_confirmation,,,1,225,0,3,1,0,0,0,0,0,0,0,0,0
MSG00006181,MPESA,Confirmed. You have received Ksh36550.60 from Faith Kiplagat 0793 978 513 on 17/9/25 at 11.05 PM New M-PESA balance is Ksh100675.67.,2025-09-17 23:05:00.974619,36550.6,0.0,100675.67,,0,,receipt_confirmation,Faith Kiplagat,0793 978 513,1,132,0,2,1,0,0,0,0,0,0,0,0,0
MSG00004219,MPESA,"Confirmed. Ksh5801.19 paid to Grace Kariuki. on 17/9/25 at 11.12 PM New M-PESA balance is Ksh32121.13. Transaction cost, Ksh35.00. Amount you can transact within the day is 500000.00. Send money globally with M-PESA. Learn more https://bit.ly/mpesalnk",2025-09-17 23:12:00.935523,5801.19,35.0,32121.13,Grace Kariuki,0,,payment_confirmation,,,1,251,0,3,1,1,2,0,1,0,0,0,0,0
MSG00003655,MPESA,"Confirmed. Ksh11620.76 paid to Esther Kiprotich. on 17/9/25 at 11.18 PM New M-PESA balance is Ksh46236.39. Transaction cost, Ksh45.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA na ufaidike na bei nafuu.",2025-09-17 23:18:00.921532,11620.76,45.0,46236.39,Esther Kiprotich,0,,payment_confirmation,,,1,228,0,3,1,0,0,0,0,0,0,0,0,0
MSG00003157,MPESA,"Confirmed. Ksh6095.14 paid to Wanjiru Kamau. on 17/9/25 at 11.23 PM New M-PESA balance is Ksh66334.08. Transaction cost, Ksh35.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA online na upate up to 25% off. Details at https://bit.ly/mpesaglobal",2025-09-17 23:23:00.921532,6095.14,35.0,66334.08,Wanjiru Kamau,0,,payment_confirmation,,,1,267,0,3,1,1,2,0,1,0,0,0,0,0
MSG00007489,MPESA,Confirmed. You have received Ksh1179.06 from Faith Kamau 0768 137 183 on 17/9/25 at 11.26 PM New M-PESA balance is Ksh74155.50.,2025-09-17 23:26:00.998914,1179.06,0.0,74155.5,,0,,receipt_confirmation,Faith Kamau,0768 137 183,1,127,0,2,1,0,0,0,0,0,0,0,0,0
MSG00002835,MPESA,"Confirmed. Ksh33398.93 paid to Samuel Omondi. on 17/9/25 at 11.31 PM New M-PESA balance is Ksh37472.77. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00.",2025-09-17 23:31:00.906448,33398.93,55.0,37472.77,Samuel Omondi,0,,payment_confirmation,,,1,184,0,3,1,0,0,0,0,0,0,0,0,0
MSG00007507,MPESA,Confirmed. You have received Ksh25746.26 from Kamau Wanjiku 0710 508 989 on 17/9/25 at 11.37 PM New M-PESA balance is Ksh84640.66.,2025-09-17 23:37:00.998914,25746.26,0.0,84640.66,,0,,receipt_confirmation,Kamau Wanjiku,0710 508 989,1,130,0,2,1,0,0,0,0,0,0,0,0,0
MSG00002255,MPESA,"Confirmed. Ksh33327.72 paid to Kamau Owino. on 17/9/25 at 11.49 PM New M-PESA balance is Ksh57273.55. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00.",2025-09-17 23:49:00.904186,33327.72,55.0,57273.55,Kamau Owino,0,,payment_confirmation,,,1,182,0,3,1,0,0,0,0,0,0,0,0,0
MSG00000415,MPESA,"Confirmed. Ksh11227.31 paid to Catherine Odhiambo. on 17/9/25 at 11.56 PM New M-PESA balance is Ksh79464.59. Transaction cost, Ksh45.00. Amount you can transact within the day is 500000.00.",2025-09-17 23:56:00.862861,11227.31,45.0,79464.59,Catherine Odhiambo,0,,payment_confirmation,,,1,189,0,3,1,0,0,0,0,0,0,0,0,0
MSG00005143,MPESA,Confirmed. You have received Ksh44063.48 from Timothy Koech 0710 957 445 on 18/9/25 at 12.22 AM New M-PESA balance is Ksh112051.48.,2025-09-18 00:22:00.953299,44063.48,0.0,112051.48,,0,,receipt_confirmation,Timothy Koech,0710 957 445,1,131,0,2,1,0,0,0,0,0,0,0,0,0
MSG00001645,MPESA,"Confirmed. Ksh45097.70 paid to Joseph Kamau. on 18/9/25 at 12.31 AM New M-PESA balance is Ksh44969.91. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. Tumia M-PESA Biashara number kununua credit na data bila ya transaction cost.",2025-09-18 00:31:00.884288,45097.7,60.0,44969.91,Joseph Kamau,0,,payment_confirmation,,,1,261,0,3,1,0,0,0,0,0,0,0,0,0
MSG00003367,MPESA,"Confirmed. Ksh41734.20 paid to Samuel Njoroge. on 18/9/25 at 12.40 AM New M-PESA balance is Ksh53390.59. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA online na upate up to 25% off. Details at https://bit.ly/mpesaglobal",2025-09-18 00:40:00.921532,41734.2,60.0,53390.59,Samuel Njoroge,0,,payment_confirmation,,,1,269,0,3,1,1,2,0,1,0,0,0,0,0
MSG00005507,MPESA,Confirmed. You have received Ksh22679.90 from Joseph Kiprotich 0710 461 614 on 18/9/25 at 12.49 AM New M-PESA balance is Ksh90349.51.,2025-09-18 00:49:00.953299,22679.9,0.0,90349.51,,0,,receipt_confirmation,Joseph Kiprotich,0710 461 614,1,133,0,2,1,0,0,0,0,0,0,0,0,0
MSG00002636,MPESA,"Confirmed. Ksh1711.65 paid to Jane Kamau. on 18/9/25 at 12.55 AM New M-PESA balance is Ksh26311.84. Transaction cost, Ksh20.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA na ufaidike na bei nafuu.",2025-09-18 00:55:00.906448,1711.65,20.0,26311.84,Jane Kamau,0,,payment_confirmation,,,1,221,0,3,1,0,0,0,0,0,0,0,0,0
MSG00001599,MPESA,"Confirmed. Ksh7241.99 paid to Michael Owino. on 18/9/25 at 12.58 AM New M-PESA balance is Ksh11680.12. Transaction cost, Ksh35.00. Amount you can transact within the day is 500000.00.",2025-09-18 00:58:00.884288,7241.99,35.0,11680.12,Michael Owino,0,,payment_confirmation,,,1,183,0,3,1,0,0,0,0,0,0,0,0,0
MSG00007516,MPESA,Confirmed. You have received Ksh40888.66 from Otieno Ogola 0793 506 659 on 18/9/25 at 1.02 AM New M-PESA balance is Ksh72606.57. Save more with M-PESA. Visit https://www.safaricom.co.ke/offers,2025-09-18 01:02:00.998914,40888.66,0.0,72606.57,,0,,receipt_confirmation,Otieno Ogola,0793 506 659,1,192,0,2,1,1,2,0,1,1,0,0,0,0
MSG00001786,MPESA,"Confirmed. Ksh33598.45 paid to Akinyi Odhiambo. on 18/9/25 at 1.26 AM New M-PESA balance is Ksh31449.74. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA online na upate up to 25% off. Details at https://bit.ly/mpesaglobal",2025-09-18 01:26:00.884288,33598.45,55.0,31449.74,Akinyi Odhiambo,0,,payment_confirmation,,,1,269,0,3,1,1,2,0,1,0,0,0,0,0
MSG00003981,MPESA,"Confirmed. Ksh35422.72 paid to Wanjiru Kamau. on 18/9/25 at 1.47 AM New M-PESA balance is Ksh28020.32. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. Pata zawadi za hadi sh 300 unapotumia M-PESA Global. Visit https://bit.ly/mpesalnk",2025-09-18 01:47:00.932567,35422.72,60.0,28020.32,Wanjiru Kamau,0,,payment_confirmation,,,1,266,0,3,1,1,2,0,1,0,0,0,0,0
MSG00005429,MPESA,Confirmed. You have received Ksh49811.95 from Timothy Odhiambo 0792 100 112 on 18/9/25 at 2.09 AM New M-PESA balance is Ksh127984.34.,2025-09-18 02:09:00.953299,49811.95,0.0,127984.34,,0,,receipt_confirmation,Timothy Odhiambo,0792 100 112,1,133,0,2,1,0,0,0,0,0,0,0,0,0
MSG00007202,MPESA,Confirmed. You have received Ksh41784.04 from Lucy Wanjiku 0768 118 888 on 18/9/25 at 2.27 AM New M-PESA balance is Ksh80878.34. Get exclusive deals at https://bit.ly/mpesadeals for M-PESA users.,2025-09-18 02:27:00.993216,41784.04,0.0,80878.34,,0,,receipt_confirmation,Lucy Wanjiku,0768 118 888,1,195,0,2,1,1,2,0,1,0,0,0,0,0
MSG00002838,MPESA,"Confirmed. Ksh37467.61 paid to Timothy Kimani. on 18/9/25 at 3.16 AM New M-PESA balance is Ksh34893.21. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. Exclusive M-PESA deals at https://bit.ly/safaricomdeals",2025-09-18 03:16:00.906448,37467.61,60.0,34893.21,Timothy Kimani,0,,payment_confirmation,,,1,240,0,3,1,1,2,0,1,0,0,0,0,0
MSG00003620,MPESA,"Confirmed. Ksh28289.04 paid to Sarah Kamau. on 18/9/25 at 3.21 AM New M-PESA balance is Ksh5961.03. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00.",2025-09-18 03:21:00.921532,28289.04,55.0,5961.03,Sarah Kamau,0,,payment_confirmation,,,1,180,0,3,1,0,0,0,0,0,0,0,0,0
MSG00003249,MPESA,"Confirmed. Ksh16592.57 paid to Paul Mwangi. on 18/9/25 at 3.25 AM New M-PESA balance is Ksh52698.07. Transaction cost, Ksh50.00. Amount you can transact within the day is 500000.00. Exclusive M-PESA deals at https://bit.ly/safaricomdeals",2025-09-18 03:25:00.921532,16592.57,50.0,52698.07,Paul Mwangi,0,,payment_confirmation,,,1,237,0,3,1,1,2,0,1,0,0,0,0,0
MSG00000263,MPESA,"Confirmed. Ksh23702.27 paid to Grace Odhiambo. on 18/9/25 at 3.32 AM New M-PESA balance is Ksh35356.00. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00. Funga mkopo na M-PESA loans haraka.",2025-09-18 03:32:00.862861,23702.27,55.0,35356.0,Grace Odhiambo,0,,payment_confirmation,,,1,220,0,3,1,0,0,0,0,0,0,0,0,0
MSG00001343,MPESA,"Confirmed. Ksh33047.61 paid to Ruth Kimani. on 18/9/25 at 3.34 AM New M-PESA balance is Ksh59026.75. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00.",2025-09-18 03:34:00.884288,33047.61,55.0,59026.75,Ruth Kimani,0,,payment_confirmation,,,1,181,0,3,1,0,0,0,0,0,0,0,0,0
MSG00004494,MPESA,"Confirmed. Ksh24689.98 paid to Timothy Kariuki. on 18/9/25 at 3.35 AM New M-PESA balance is Ksh2607.88. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00. Funga mkopo na M-PESA loans haraka.",2025-09-18 03:35:00.935523,24689.98,55.0,2607.88,Timothy Kariuki,0,,payment_confirmation,,,1,220,0,3,1,0,0,0,0,0,0,0,0,0
MSG00004665,MPESA,"Confirmed. Ksh47932.30 paid to Esther Maina. on 18/9/25 at 3.44 AM New M-PESA balance is Ksh15537.92. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. M-PESA Global - send money worldwide at low rates.",2025-09-18 03:44:00.935523,47932.3,60.0,15537.92,Esther Maina,0,,payment_confirmation,,,1,233,0,3,1,0,0,0,0,0,0,0,0,0
MSG00002303,MPESA,"Confirmed. Ksh1681.84 paid to Chebet Kiprotich. on 18/9/25 at 3.47 AM New M-PESA balance is Ksh84585.32. Transaction cost, Ksh20.00. Amount you can transact within the day is 500000.00. Tumia M-PESA Biashara number kununua credit na data bila ya transaction cost.",2025-09-18 03:47:00.904594,1681.84,20.0,84585.32,Chebet Kiprotich,0,,payment_confirmation,,,1,263,0,3,1,0,0,0,0,0,0,0,0,0
MSG00000227,MPESA,"Confirmed. Ksh43647.24 paid to Akinyi Omondi. on 18/9/25 at 3.50 AM New M-PESA balance is Ksh11751.10. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. Funga mkopo na M-PESA loans haraka.",2025-09-18 03:50:00.862861,43647.24,60.0,11751.1,Akinyi Omondi,0,,payment_confirmation,,,1,219,0,3,1,0,0,0,0,0,0,0,0,0
MSG00003650,MPESA,"Confirmed. Ksh5151.80 paid to Jane Kariuki. on 18/9/25 at 3.55 AM New M-PESA balance is Ksh60305.93. Transaction cost, Ksh35.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA online na upate up to 25% off. Details at https://bit.ly/mpesaglobal",2025-09-18 03:55:00.921532,5151.8,35.0,60305.93,Jane Kariuki,0,,payment_confirmation,,,1,265,0,3,1,1,2,0,1,0,0,0,0,0
MSG00003869,MPESA,"Confirmed. Ksh30228.65 paid to Mary Maina. on 18/9/25 at 3.58 AM New M-PESA balance is Ksh9038.36. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00.",2025-09-18 03:58:00.931081,30228.65,55.0,9038.36,Mary Maina,0,,payment_confirmation,,,1,179,0,3,1,0,0,0,0,0,0,0,0,0
MSG00004501,MPESA,"Confirmed. Ksh32752.02 paid to Catherine Omondi. on 18/9/25 at 4.31 AM New M-PESA balance is Ksh35030.33. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00.",2025-09-18 04:31:00.935523,32752.02,55.0,35030.33,Catherine Omondi,0,,payment_confirmation,,,1,186,0,3,1,0,0,0,0,0,0,0,0,0
MSG00000466,MPESA,"Confirmed. Ksh25219.48 paid to Otieno Kiprotich. on 18/9/25 at 4.35 AM New M-PESA balance is Ksh26385.93. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00. Funga mkopo na M-PESA loans haraka.",2025-09-18 04:35:00.862861,25219.48,55.0,26385.93,Otieno Kiprotich,0,,payment_confirmation,,,1,222,0,3,1,0,0,0,0,0,0,0,0,0
MSG00006945,MPESA,Confirmed. You have received Ksh47064.97 from John Mwangi 0750 952 605 on 18/9/25 at 4.36 AM New M-PESA balance is Ksh106386.44.,2025-09-18 04:36:00.984769,47064.97,0.0,106386.44,,0,,receipt_confirmation,John Mwangi,0750 952 605,1,128,0,2,1,0,0,0,0,0,0,0,0,0
MSG00003737,MPESA,"Confirmed. Ksh16569.44 paid to Wanjiru Kiprotich. on 18/9/25 at 5.04 AM New M-PESA balance is Ksh67665.61. Transaction cost, Ksh50.00. Amount you can transact within the day is 500000.00. Shop with M-PESA and get cashback. Check https://www.safaricom.co.ke/mpesa",2025-09-18 05:04:00.921532,16569.44,50.0,67665.61,Wanjiru Kiprotich,0,,payment_confirmation,,,1,262,0,3,1,1,2,0,1,1,0,0,0,0
MSG00000698,MPESA,"Confirmed. Ksh47526.92 paid to Kamau Wanjiku. on 18/9/25 at 5.18 AM New M-PESA balance is Ksh44903.06. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA na ufaidike na bei nafuu.",2025-09-18 05:18:00.862861,47526.92,60.0,44903.06,Kamau Wanjiku,0,,payment_confirmation,,,1,224,0,3,1,0,0,0,0,0,0,0,0,0
MSG00007825,MPESA,Confirmed. You have received Ksh123.61 from Joseph Njoroge 0730 602 442 on 18/9/25 at 5.18 AM New M-PESA balance is Ksh38865.45. Save more with M-PESA. Visit https://www.safaricom.co.ke/offers,2025-09-18 05:18:01.003438,123.61,0.0,38865.45,,0,,receipt_confirmation,Joseph Njoroge,0730 602 442,1,192,0,2,1,1,2,0,1,1,0,0,0,0
MSG00006164,MPESA,Confirmed. You have received Ksh30251.61 from Faith Koech 0720 902 327 on 18/9/25 at 5.21 AM New M-PESA balance is Ksh105514.48.,2025-09-18 05:21:00.974619,30251.61,0.0,105514.48,,0,,receipt_confirmation,Faith Koech,0720 902 327,1,128,0,2,1,0,0,0,0,0,0,0,0,0
MSG00002141,MPESA,"Confirmed. Ksh23055.50 paid to Michael Odhiambo. on 18/9/25 at 5.41 AM New M-PESA balance is Ksh57534.95. Transaction cost, Ksh55.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA online na upate up to 25% off. Details at https://bit.ly/mpesaglobal",2025-09-18 05:41:00.900648,23055.5,55.0,57534.95,Michael Odhiambo,0,,payment_confirmation,,,1,270,0,3,1,1,2,0,1,0,0,0,0,0
MSG00005379,MPESA,Confirmed. You have received Ksh4272.52 from Ruth Kiplagat 0769 329 566 on 18/9/25 at 5.42 AM New M-PESA balance is Ksh26365.22.,2025-09-18 05:42:00.953299,4272.52,0.0,26365.22,,0,,receipt_confirmation,Ruth Kiplagat,0769 329 566,1,128,0,2,1,0,0,0,0,0,0,0,0,0
MSG00000742,MPESA,"Confirmed. Ksh18310.28 paid to Sarah Ogola. on 18/9/25 at 5.48 AM New M-PESA balance is Ksh57939.15. Transaction cost, Ksh50.00. Amount you can transact within the day is 500000.00. Lipa na M-PESA na ufaidike na bei nafuu.",2025-09-18 05:48:00.862861,18310.28,50.0,57939.15,Sarah Ogola,0,,payment_confirmation,,,1,222,0,3,1,0,0,0,0,0,0,0,0,0
MSG00002409,MPESA,"Confirmed. Ksh35458.07 paid to Sarah Wanjiku. on 18/9/25 at 5.49 AM New M-PESA balance is Ksh38371.90. Transaction cost, Ksh60.00. Amount you can transact within the day is 500000.00.",2025-09-18 05:49:00.906448,35458.07,60.0,38371.9,Sarah Wanjiku,0,,payment_confirmation,,,1,183,0,3,1,0,0,0,0,0,0,0,0,0
MSG00007428,MPESA,Confirmed. You have received Ksh27943.26 from Kamau Maina 0740 424 950 on 18/9/25 at 6.03 AM New M-PESA balance is Ksh104276.76. Lipa na M-PESA at NAIVAS SUPERMARKET and stand a chance to win a trolley shopping.,2025-09-18 06:03:00.998914,27943.26,0.0,104276.76,,0,,receipt_confirmation,Kamau Maina,0740 424 950,1,211,0,2,1,0,0,0,0,0,0,0,0,0
MSG00007060,MPESA,Confirmed. You have received Ksh29235.94 from Lucy Ogola 0750 315 227 on 18/9/25 at 6.16 AM New M-PESA balance is Ksh30373.89.,2025-09-18 06:16:00.984769,29235.94,0.0,30373.89,,0,,receipt_confirmation,Lucy Ogola,0750 315 227,1,126,0,2,1,0,0,0,0,0,0,0,0,0
